Site,Bioregion,Lat,Long,h,Genus,Species,spp,Habitat,Diet
Jacobs_Bay,CoolTemperate,-32.97,17.89,0.73626,Acanthochiton,garnoti,Aga,Rocky,Grazer
Mouille_Point,CoolTemperate,-33.9,18.4,0.9667,Acanthochiton,garnoti,Aga,Rocky,Grazer
Wooleys_Pool,SouthWest,-34.13,18.45,0.9744,Acanthochiton,garnoti,Aga,Rocky,Grazer
Rooiels,SouthWest,-34.3,18.81,0.981,Acanthochiton,garnoti,Aga,Rocky,Grazer
Bettys_Bay,SouthWest,-34.36,18.92,0.9654,Acanthochiton,garnoti,Aga,Rocky,Grazer
Gansbaai,SouthWest,-34.58,19.34,0.9789,Acanthochiton,garnoti,Aga,Rocky,Grazer
Cape_Agulhas,WarmTemperate,-34.83,20.01,0.9,Acanthochiton,garnoti,Aga,Rocky,Grazer
Herolds_Bay,WarmTemperate,-34.06,22.4,1,Acanthochiton,garnoti,Aga,Rocky,Grazer
Knysna,WarmTemperate,-34.09,23.09,0.9333,Acanthochiton,garnoti,Aga,Rocky,Grazer
Port_Elizabeth,WarmTemperate,-33.99,25.68,1,Acanthochiton,garnoti,Aga,Rocky,Grazer
East_London,SubTropical,-33.06,27.87,0.9744,Acanthochiton,garnoti,Aga,Rocky,Grazer
Haga_Haga,SubTropical,-32.77,28.23,0.9722,Acanthochiton,garnoti,Aga,Rocky,Grazer
Port_Alfred,WarmTemperate,-33.63,26.87,0.9333,Acanthochiton,garnoti,Aga,Rocky,Grazer
Cape_Recife,WarmTemperate,-34.03,25.71,0.2,Afrolittorina,africana,Aaf,Rocky,Grazer
Haga_Haga,SubTropical,-32.77,28.23,0.49,Afrolittorina,africana,Aaf,Rocky,Grazer
Dwesa,SubTropical,-32.27,28.89,0.35,Afrolittorina,africana,Aaf,Rocky,Grazer
Port_Edward,SubTropical,-31.06,30.23,0.26,Afrolittorina,africana,Aaf,Rocky,Grazer
Mhlanga,SubTropical,-29.74,31.08,0.14,Afrolittorina,africana,Aaf,Rocky,Grazer
Sheffield_Beach,SubTropical,-29.49,31.26,0.26,Afrolittorina,africana,Aaf,Rocky,Grazer
Zinkwazi,SubTropical,-29.28,31.44,0.36,Afrolittorina,africana,Aaf,Rocky,Grazer
Lone_Rock,SubTropical,-28.91,31.94,0.51,Afrolittorina,africana,Aaf,Rocky,Grazer
Port_St._Johns,SubTropical,-31.63,29.55,0.67,Afrolittorina,africana,Aaf,Rocky,Grazer
Port_Nolloth,CoolTemperate,-29.25,16.87,0.53,Afrolittorina,knysnaensis,Akn,Rocky,Grazer
Strandfontein,CoolTemperate,-31.75,18.23,0.17,Afrolittorina,knysnaensis,Akn,Rocky,Grazer
Port_St._Johns,SubTropical,-31.63,29.55,0.42,Afrolittorina,knysnaensis,Akn,Rocky,Grazer
Ramsgate,SubTropical,-30.87,30.37,0.18,Afrolittorina,knysnaensis,Akn,Rocky,Grazer
Still_Bay,WarmTemperate,-34.37,21.44,0.22,Afrolittorina,knysnaensis,Akn,Rocky,Grazer
Jeffreys_Bay,WarmTemperate,-34.06,24.93,0.2,Afrolittorina,knysnaensis,Akn,Rocky,Grazer
Cape_Recife,WarmTemperate,-34.03,25.71,0.14,Afrolittorina,knysnaensis,Akn,Rocky,Grazer
Port_Alfred,WarmTemperate,-33.63,26.87,0.53,Afrolittorina,knysnaensis,Akn,Rocky,Grazer
